user,date,calories,steps,sleep_start,sleep_timeInBed,sleep_minutesAsleep,sleep_awakeningsCount,sleep_minutesAwake,sleep_minutesToFallAsleep,sleep_minutesAfterWakeup,sleep_efficiency
myfitbit,2019-04-15,3050.7825,11614,05:44:30,211,187,,,,,
myfitbit,2019-04-16,2217.609,4316,01:22:00,475,410,,,,,
myfitbit,2019-04-17,2776.5734999999995,10469,05:19:30,238,216,,,,,
myfitbit,2019-04-18,3057.6555,13658,02:18:00,420,371,,,,,
myfitbit,2019-04-19,3399.7650000000003,12848,03:44:00,315,278,,,,,
myfitbit,2019-04-20,2926.7129999999997,11255,01:32:30,573,498,,,,,
myfitbit,2019-04-21,1824.7815,3971,03:47:30,538,478,,,,,
myfitbit,2019-04-22,3156.7215,14094,03:57:00,319,292,,,,,
myfitbit,2019-04-23,2927.424,13541,03:12:00,366,312,,,,,
myfitbit,2019-04-24,815.1614999999999,1822,01:44:30,347,296,,,,,
myfitbit,2019-04-25,2756.1915,12599,04:12:00,304,263,,,,,
myfitbit,2019-04-26,3944.7465,20914,00:39:30,252,213,,,,,
myfitbit,2019-04-27,2916.6405000000004,11121,01:18:00,278,242,,,,,
myfitbit,2019-04-28,2586.855,7470,00:51:30,732,646,,,,,
myfitbit,2019-04-29,3322.74,12069,04:40:00,270,223,,,,,
myfitbit,2019-04-30,3160.632,14078,03:02:30,359,308,,,,,
myfitbit,2019-05-01,2796.3630000000003,10927,02:04:30,431,366,,,,,
myfitbit,2019-05-02,3254.1285000000003,12598,03:32:00,346,288,,,,,
myfitbit,2019-05-03,3080.0519999999997,12461,02:43:30,383,328,,,,,
myfitbit,2019-05-04,2898.7470000000003,10838,03:00:00,690,597,,,,,
myfitbit,2019-05-05,2557.941,6310,02:39:30,619,564,,,,,
myfitbit,2019-05-06,3196.3005,9959,18:24:30,74,65,,,,,
myfitbit,2019-05-07,2643.3795,6218,04:01:30,318,272,,,,,
myfitbit,2019-05-08,2333.265,10419,,,,,,,,
myfitbit,2019-05-09,3023.6459999999997,10376,03:39:30,332,283,,,,,
myfitbit,2019-05-10,3004.923,12586,00:57:30,280,238,,,,,
myfitbit,2019-05-11,2328.7619999999997,10012,06:03:30,182,163,,,,,
myfitbit,2019-05-12,3183.5024999999996,12223,04:14:00,244,222,,,,,
myfitbit,2019-05-13,3194.286,14101,05:06:00,252,217,,,,,
myfitbit,2019-05-14,3100.0784999999996,15681,09:35:30,323,289,,,,,
myfitbit,2019-05-15,1891.1415,4376,,,,,,,,
